stage,chart_id,chart_kind,sample_id,status,reason
construction,a39431a793d54d486167a80c46e81f54ab6c41131265a34e9627e186035d09f6,single_line,,bar_line_combination_out_of_scope,
construction,a3e88c2edaae07f68af6b77d2af874fd77850dac4704bd1a57ac296b49bad68a,single_line,,no_coherent_x_anchor_sequence,
construction,a497cabc61ca52f9fdf8a260ef1acb80697c0fe68d3dda668dbae44a24aaf5d5,single_line,,no_coherent_x_anchor_sequence,
construction,a4f6a726edad0d0cb94eec37e5a05ea7b2c72396315e0fafe4aab301ec493e95,multi_line,,no_coherent_x_anchor_sequence,
construction,a8049e206e876ab4ee4c13e7354108806dfd89161f9a133bd5341e005fdd002c,single_line,,bar_line_combination_out_of_scope,
construction,a90afcc292770c09c009ea681a0097ce6de4a2f222f76bd7454b461c342fcbc1,multi_line,,no_coherent_x_anchor_sequence,
construction,aa555e42497f014ab6a19177d0b6118ddbdfec9210f5e8a8eb9fbdd9cb7eda21,single_line,,no_coherent_x_anchor_sequence,
construction,ace8e5f4b2d818db4454f4100daee1cf7521458feeb21eadb1f85c1323b50a1c,multi_line,,no_coherent_x_anchor_sequence,
construction,acf189f6cb76d1d7903725f170a28430902deee4e4b56359f60bf13bc2a63fe8,multi_line,,rejected,crop_ocr_did_not_confirm_value
construction,acf189f6cb76d1d7903725f170a28430902deee4e4b56359f60bf13bc2a63fe8,multi_line,,rejected,no_reliable_semantic_x_target
construction,acf189f6cb76d1d7903725f170a28430902deee4e4b56359f60bf13bc2a63fe8,multi_line,,rejected,no_reliable_semantic_x_target
construction,acf189f6cb76d1d7903725f170a28430902deee4e4b56359f60bf13bc2a63fe8,multi_line,,rejected,no_reliable_semantic_x_target
construction,acf189f6cb76d1d7903725f170a28430902deee4e4b56359f60bf13bc2a63fe8,multi_line,,no_label_accepted,
construction,ae595edb2938bd11ee955520f821da3144c9d23e56d5b151a309f1cf32c1e8ea,single_line,,bar_line_combination_out_of_scope,
construction,b19f942899302905ac64337deb028c05e6ef433448830f027ea89dc253c66a6b,single_line,,bar_line_combination_out_of_scope,
construction,b1d3835e9621c5210b2552c6501a63623d401d9d38cce0a8ceeb7d811769ad7c,multi_line,,rejected,no_series_pixels_near_gold_y
construction,b1d3835e9621c5210b2552c6501a63623d401d9d38cce0a8ceeb7d811769ad7c,multi_line,,rejected,no_series_pixels_near_gold_y
construction,b1d3835e9621c5210b2552c6501a63623d401d9d38cce0a8ceeb7d811769ad7c,multi_line,,no_label_accepted,
construction,b1ecdc197e17bd202d70738dd7ea349eb6493fd0f6fe134896770feced660fe3,single_line,,bar_line_combination_out_of_scope,
construction,b24ba6f2183cd5fde75fc9eb2011807c025774f511c736f07cd1ee6d430507a7,single_line,,no_coherent_x_anchor_sequence,
construction,b26392d7cde88ad3ea5903f80db71c1a2cc8cf443ed93d5c8edbd9f7320a7324,multi_line,,legend_unrecoverable_at_construction,
construction,b285dd3eb958308d8374f762c8a3e9d39b80fbddf391701161e8d692c0a1bc17,multi_line,,no_coherent_x_anchor_sequence,
